    １２


    11,331.0,xiangyulaopobing,香芋老婆饼, 香芋 老婆饼
11,195.0,zhaliuganjian,炸熘肝尖
11,243.0,liuyangganjian,熘羊肝尖
10,379.0,kangbaolaicaobenshanshixianweifen,康宝莱草本膳食纤维粉
10,177.0,krugerweishengsuhanpian,kruger维生素含片, 维生素含片
6,0.0,lingdukele,可口可乐 零度可乐（罐装）, 零度可乐
6,42.0,quechaokafeixianghuayinliao,雀巢咖啡香滑饮料, 罐装咖啡香滑饮料
3,355.0,yiligaodanbaigaogaituozhinaifen,伊利高蛋白高钙脱脂奶粉, 伊利高蛋白脱脂高钙奶粉
3,48.0,mengniugaogaidizhiniunai,蒙牛高钙低脂牛奶
3,40.0,yilituozhiniunai,伊利 脱脂牛奶 老包装
2,144.0,chayedan,茶叶蛋
1,390.0,guigejishiyanmaipian,桂格即食免煮燕麦片 1000g（袋装）
11,349.0,nailaodangao,奶酪蛋糕, 芝士蛋糕
11,134.0,baoxinyuwan,包心鱼丸
11,208.0,xingmeirou,杏梅肉
10,20.0,heshiruiqitianchengduozhongweishengsupaotengpian,和氏瑞奇甜橙多种维生素泡腾片, 甜橙多种维生素泡腾片
11,310.0,fd4f80ed,心味果园 红心杏脯
9,250.0,haoliyoumutangchunwutangkouxiangtang,好丽友木糖醇无糖口香糖, ORION 비타 XYLITOL
11,359.0,fd1e01ef,香当然 香菇椒麻酱拌面（面饼）
9,390.0,chunguangtezhiyezitang,春光特制椰子糖
8,619.0,sijibaorouhuahuashengjiang,四季宝柔滑花生酱 409g, 花生酱
8,174.0,wuyibozicaitang,吴一波紫菜汤
6,38.0,mengniusuansuanruruyinliaoyuanwei,蒙牛酸酸乳乳饮料原味
6,46.0,meizhiyuanguolicheng,美汁源果粒橙
6,554.0,kafeibanlv,咖啡伴侣
6,45.0,weiquanhuoxingrusuanjunyinpin_luhuiwei,味全 活性乳酸菌饮品（芦荟味） 瓶装435ml, 味全乳酸菌（芦荟）
6,46.0,guligulihongdounongjiang,惠尔康谷粒谷力红豆浓浆
11,76.0,fdf84f97,鲜觅度 八爪鱼切片
11,125.0,fd47a213,八爪鱼 海鲜酱
3,63.0,mengniuyuanweiplainsuanniunai,蒙牛原味plain酸牛奶, 益生菌酸奶
3,98.0,yiliweinongyuanweisuannai,伊利味浓原味酸奶, 味浓原味酸奶
3,73.0,mengniusuanniunai_yuanwei,蒙牛 酸牛奶（原味） 100ml（小盒装）, 酸奶
3,54.0,wangziniunai,旺仔牛奶, 旺仔牛奶复原乳
3,504.0,quanzhinaifen_quechao,全脂奶粉（雀巢）
1,359.0,zaozaomaiyanmaipian,早早麦燕麦片
11,188.0,fd1c298d,维扬 素板鸭
11,44.0,heimihongdouzhou,黑米红豆粥, 黑米红豆粥
11,117.0,hanguochaoniangao,辣炒年糕, 韩国辣炒年糕
11,80.0,youlabaocaijuan,油辣包菜卷
11,105.0,shousi,寿司 自制2
11,24.0,huangdoujiang,黄豆浆
11,295.0,xinjiangnangbing,新疆馕饼, 馕
9,350.0,xiangjiaoguozhajuan,老厨 杀杀龙肉干
9,64.0,babaozhou_wahahapai,娃哈哈 八宝粥 360g
9,190.0,elledidanjuan,elledi蛋卷, elledi蛋卷
9,382.0,nanfangADgaiheizhimahu,南方AD钙黑芝麻糊, 南方黑芝麻糊
9,378.0,G7kafei,G7咖啡, G7
9,500.0,xianglaziranniurou,lonny欧儿  五谷麦麸饼 黑心
11,217.0,fd6d7a6a,客商 盐焗鸡爪
11,160.0,fd0b81d1,老乡 盐焗鸡爪
6,40.0,quechaojinpaifengweikafei,雀巢金牌风味咖啡
6,372.0,yashilizaocandounaifen,雅士利早餐豆奶粉
6,0.0,baishikele-qingyi,百事可乐-轻怡, 百事轻怡可乐
3,93.0,mengniudaliguoshisuanniunai280g,蒙牛大粒果实酸牛奶280g, 蒙牛大果粒
3,226.0,baijifuzhishipian,百吉福芝士片, 再制奶酪
1,307.0,jinhongweidamaitusi,金红伟大麦吐司
1,233.0,siniannaihuangbao,思念奶黄包, 思念奶黄包
11,371.0,fenzhengrou,粉蒸肉
11,340.0,qiaokelipaofu,巧克力泡芙, 泡芙
11,106.0,malatang,麻辣烫
